time,Default quota requests,Sign-in quota requests
2015-09-18 17:00:00,0,5
2015-09-17 17:00:00,0,0
2015-09-16 17:00:00,0,0
2015-09-15 17:00:00,0,0
2015-09-14 17:00:00,0,0
2015-09-13 17:00:00,0,0
2015-09-12 17:00:00,0,0
2015-09-11 17:00:00,0,0
2015-09-10 17:00:00,0,0
2015-09-09 17:00:00,0,0
2015-09-08 17:00:00,0,0
2015-09-07 17:00:00,0,0
2015-09-06 17:00:00,0,0
2015-09-05 17:00:00,0,0
2015-09-04 17:00:00,0,0
2015-09-03 17:00:00,0,0
2015-09-02 17:00:00,0,0
2015-09-01 17:00:00,0,0
2015-08-31 17:00:00,0,0
2015-08-30 17:00:00,0,0
2015-08-29 17:00:00,0,0
2015-08-28 17:00:00,0,0
2015-08-27 17:00:00,0,0
2015-08-26 17:00:00,0,0
2015-08-25 17:00:00,0,0
2015-08-24 17:00:00,0,0
2015-08-23 17:00:00,0,0
2015-08-22 17:00:00,0,0
2015-08-21 17:00:00,0,0
2015-08-20 17:00:00,0,0
